날짜,가격
2025-01-14,1553.87
2025-01-13,1552.3
2025-01-12,1548.13
2025-01-11,1546.73
2025-01-10,1543.68
2025-01-09,1540.97
2025-01-08,1537.31
2025-01-07,1533.95
2025-01-06,1530.02
2025-01-05,1526.49
2025-01-04,1525.35
2025-01-03,1522.49
2025-01-02,1520.04
2025-01-01,1518.0
2024-12-31,1516.13
2024-12-30,1514.72
2024-12-29,1513.2
2024-12-28,1512.49
2024-12-27,1511.86
2024-12-26,1510.14
2024-12-25,1508.74
2024-12-24,1507.54
2024-12-23,1506.04
2024-12-22,1504.05
2024-12-21,1503.41
2024-12-20,1502.62
2024-12-19,1500.82
2024-12-18,1499.28
2024-12-17,1497.65
2024-12-16,1496.08
2024-12-15,1494.21
2024-12-14,1493.81
2024-12-13,1492.94
2024-12-12,1491.49
2024-12-11,1490.25
